Person,Item 1,Item 2,Item 3,Item 4,Item 5
1,Paneer Paratha,Chole Bhature,Mix Pakora,Thali 2,Mini Thali 1
2,Mix Paratha,Mix Pakora,Thali 1,Rajma Rice,Paneer Butter Masala
3,Veg Biryani,Thali 3,Aloo Paratha,Kadai Paneer,Lemon Ginger Honey Tea
4,Stuff Naan,Thali 5,Veg Fried Rice,Mango Shake,Chilli Garlic Naan
5,Amritsari Kulcha,THAlI 5,Jeera Rice,Rabdi Jalebi,Butter Toast
6,Mix Paratha,Thali 2,Paneer Tikka,Thandai,Dahi-Khichdi Special Thali
7,Paneer Lababdar,Aloo Pyaz Paratha,Mint Mojito,Thali 6,Shahi Paneer
8,Chilli Paneer Gravy,Aloo Pyaz Paratha,Mooli Paratha,Paneer Lababdar,Stuff Mushroom Tikka
9,Paneer Punjabi,Dal Makhani,Chole Bhature,Veg Seek Kebab,Lemon Soda
10,Grilled Sandwich,Thali 3,Veg Pulao,Aloo Raita,Paneer Paratha
11,Special Tea,Mini Thali 1,Mix Pakora,Veg Fried Rice,Paneer Butter Masala
12,Shahi Paneer,Amritsari Kulcha,Thali 1,Kadai Paneer,Veg Seek Kebab
13,Rajma Rice,Thali 2,Paneer Paratha,Stuff Naan,Chole Bhature
14,Thali 4,Paneer Tikka,Veg Pulao,Mix Raita,Thali 6
15,Mix Paratha,Paneer Pasanda,Thali 5,Paneer Tikka Butter Masala,Veg Biryani
16,Hyderabadi Paneer,Thali 2,Aloo Pyaz Paratha,Kadai Paneer,Mix Raita
17,Aloo Pyaz Paratha,Thali 3,Shahi Paneer,Veg Pulao,Kadai Paneer
18,Chole Bhature,Thali 5,Mix Veg,Paneer Malai Tikka,Jeera Rice
19,Mix Pakora,Thali 1,Special Tea,Stuff Naan,Veg Seek Kebab
20,Thali 2,Kadai Paneer,Amritsari Kulcha,Paneer Tikka,Jeera Rice
21,Paneer Lababdar,Thali 3,Mooli Paratha,Mix Raita,Veg Biryani
22,Rajma Rice,Paneer Pasanda,Chole Bhature,Thali 5,Mix Paratha
23,Thali 6,Shahi Paneer,Mix Veg,Chole Bhature,Rajma Rice
24,Veg Biryani,Thali 1,Chole Bhature,Aloo Pyaz Paratha,Lemon Ginger Honey Tea
25,Soya Tikka Butter Masala,Stuff Mushroom Tikka,Paneer Tikka,Aloo Pyaz Paratha,Thali 5
26,Thali 4,Rajma Rice,Mix Pakora,Paneer Butter Masala,Chole Bhature
27,Paneer Lababdar,Mix Veg,Pulao,Kadai Paneer,Thali 2
28,Thali 3,Amritsari Kulcha,Veg Fried Rice,Paneer Pasanda,Stuff Naan
29,Paneer Pasanda,Mix Paratha,Thali 5,Veg Pulao,Amritsari Kulcha
30,Rajma Rice,Thali 3,Veg Pulao,Mix Pakora,Aloo Raita
31,Thali 2,Paneer Tikka Butter Masala,Kadai Paneer,Mix Paratha,Rajma Rice
32,Hyderabadi Paneer,Thali 1,Veg Makhni,Aloo Paratha,Stuff Naan
33,Special Tea,Thali 3,Hyderabadi Paneer,Paneer Tikka,Paneer Pasanda
34,Chole Bhature,Paneer Lababdar,Thali 5,Stuff Mushroom Tikka,Rajma Rice
35,Mix Pakora,Veg Biryani,Thali 2,Aloo Paratha,Paneer Paratha
36,Paneer Lababdar,Thali 4,Kadai Paneer,Stuff Naan,Chole Bhature
37,Shahi Paneer,Mix Veg,Rajma Masala,Thali 6,Paneer Tikka Butter Masala
38,Thali 3,Stuff Naan,Kadai Paneer,Paneer Tikka Butter Masala,Jeera Rice
39,Paneer Pasanda,Mix Pakora,Veg Fried Rice,Amritsari Kulcha,Thali 5
40,Thali 2,Rajma Masala,Paneer Tikka,Mix Veg,Mix Paratha
41,Rajma Rice,Thali 1,Veg Pulao,Amritsari Kulcha,Stuff Naan
42,Paneer Lababdar,Pulao,Thali 2,Aloo Paratha,Rajma Rice
43,Thali 6,Stuff Naan,Paneer Tikka,Hyderabadi Paneer,Rajma Masala
44,Paneer Pasanda,Aloo Paratha,Thali 4,Pulao,Paneer Punjabi
45,Chole Bhature,Paneer Lababdar,Rajma Rice,Mix Paratha,Thali 5
46,Soya Tikka Butter Masala,Mix Paratha,Butter Naan,Thali 2,Kadai Paneer
47,Thali 1,Paneer Tikka,Chole Bhature,Rajma Rice,Mix Pakora
48,Thali 3,Pulao,Mix Veg,Dahi-Khichdi Special Thali,Grilled Sandwich
49,Paneer Pasanda,THALI 5,Mix Paratha,Rabdi Jalebi
50,Thali 4,Veg Biryani,Stuff Mushroom Tikka,Paneer Tikka Butter Masala,Chole Bhature